MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,,,,,,,,,,
,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Eduardo,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial
PROP_0012,BASILICA SAN JOSE DE FLORES,Rivadavia Av. 6950,Ver en mapa,CABA,-34.62913,-58.463338,"Pescadores 67 | Falcon, Ramon L.,Cnel. 2453",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Eduardo, Entes dependientes",Parroquia y anexos,U2
PROP_0013,Iglesia SANTA FELICITAS,Isabel La Catolica y Pinzon,Ver en mapa,CABA,-34.63703,-58.373693,Isabel La Catolica 520,✅,,✅,,✅,,,"Índice GCBA, Templos, Eduardo",Parroquia y anexos,U1-U3/Sin relevar
PROP_0014,Iglesia SANTA FRANCISCA ROMANA,San Martin Av. 5555,Ver en mapa,CABA,-34.59691,-58.495275,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0015,Iglesia SANTA MARIA MAZARELLO,"Garay, Juan De Av. 4353",Ver en mapa,CABA,-34.63222,-58.424893,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0016,Iglesia SANTA TERESA de JESUS,Potosi 4049,Ver en mapa,CABA,-34.607219,-58.423912,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0017,Iglesia SANTA TERESA de JESUS,Tucuman 3029,Ver en mapa,CABA,-34.601,-58.408119,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0018,Iglesia SANTA TERESA del NIÑO JESUS,Ezeiza 3054,Ver en mapa,CABA,-34.577797,-58.512527,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
PROP_0019,PARROQUIA SAN BENITO ABAD,Villanueva 933,Ver en mapa,CABA,-34.568516,-58.438833,Villanueva 905 | Villanueva 955,,,✅,,✅,,✅,"Templos, Eduardo, Entes dependientes",Parroquia y anexos,Sin relevar
PROP_0020,Iglesia SANTOS MARTIRES COREANOS,Thorne 1279,Ver en mapa,CABA,-34.637966,-58.446673,Thorne 1281 | Thorne 1277 | Thorne 1261 | Thorne 1269,✅,,✅,,✅,,,"Índice GCBA, Templos, Eduardo",Parroquia y anexos,U1-U3/Sin relevar
PROP_0021,Iglesia SEÑOR de la BUENA ESPERANZA,"Vallese, Felipe 2539",Ver en mapa,CABA,-34.62164,-58.468057,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar
