MAPA ->,Mapa - por partido y fuente de origen de datos,,,,,,,275,0,286,92,444,226,202,,,,
694,,Ubicación,,,,,,Categoría de uso y dominio,,,,,,,,,,
Propiedad_ID,Descripción,Dirección oficial,Ubicación,Localidad,Lat,Long,Direcciones secundarias,En Índice GCBA,En Índice PBA,En Templos,En alquileres,En Destinos,En Relev,En entes,Fuentes disponibles,Categoría de uso,Universo dominial,Estado validación
PROP_0071,PARROQUIA NUESTRA SRA DE LA MERCED,Reconquista 207,Ver en mapa,CABA,-34.605044,-58.372322,"Peron, Juan Domingo, Tte. Gral. y Reconquista | Reconquista 209",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0072,INSTITUTO NTRA SRA DE LA MISERICORDIA,Larrazabal 2372,Ver en mapa,CABA,-34.661394,-58.491187,"Larrazabal 2394 | Larrazabal 2390 | Laferrere, Gregorio De 5865",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes","Parroquia y anexos, Escuela",U9,
PROP_0073,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA PAZ,Pergamino 69,Ver en mapa,CABA,-34.632924,-58.474263,Pergamino 37 | Pergamino 45 | Pergamino 47 | Pergamino 53 | Pergamino 63,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1,
PROP_0074,PARROQUIA NUESTRA SEÑORA DE LA PIEDAD,"Mitre, Bartolome 1534",Ver en mapa,CABA,-34.607762,-58.388071,"Mitre, Bartolome 1524",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0075,PARROQUIA NUESTRA SEÑORA DE LA RABIDA,"Saenz Peña, Luis, Pres. 427",Ver en mapa,CABA,-34.613806,-58.387561,"Saenz Peña, Luis, Pres. 441 | Belgrano Av. 1502",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0076,PARROQUIA NUESTRA SEÑORA DE LA SALUD,Bruselas 1022,Ver en mapa,CABA,-34.625276,-58.523871,"Sastre, Marcos 6115 | Sastre, Marcos y Bruselas",,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0077,Capilla JESÚS VIVE (Pquia Caacupé),Zavaleta y Santo Domingo,Ver en mapa,CABA,-34.654384,-58.399987,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0078,PARROQUIA NUESTRA SEÑORA DE LA VISITACION,Paez 2864,Ver en mapa,CABA,-34.622031,-58.472839,Paez 2866 | Paez 2881 | Paez 2871,✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U2,
PROP_0079,Parroquia NTRA. SRA. DE LAS GRACIAS,Condor 2150,Ver en mapa,CABA,-34.657565,-58.429123,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0080,PARROQUIA NUESTRA SENORA DE LAS MERCEDES,Echeverria 1361,Ver en mapa,CABA,-34.556715,-58.44543,Echeverria 1395 | Echeverria 1349 | Echeverria 1365 | Migueletes 2039 | Migueletes 2095,,,✅,,✅,✅,✅,"Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U5,
PROP_0081,INST NTRA SRA DE LAS NIEVES,Palmar 6651,Ver en mapa,CABA,-34.643428,-58.519986,"Bosch, Ventura 6665 | Bosch, Ventura 6667 | Palmar 6637 | Palmar 6639 | Palmar 6645 | Bosch, Ventura 6686 | Bosch, Ventura 6662 | Bosch, Ventura 6658",✅,,✅,,✅,✅,✅,"Índice GCBA, Relevamiento, Templos, Destinos, Entes dependientes",Parroquia y anexos,U2,
PROP_0082,Parroquia NTRA. SRA. DE LAS VICTORIAS,Paraguay 1204,Ver en mapa,CABA,-34.598121,-58.384323,Paraguay 1216,,,✅,,✅,✅,,"Relevamiento, Templos, Destinos",Parroquia y anexos,U5,
PROP_0083,PARROQUIA NUESTRA SENORA DE LORETO,"Diaz, Cnel. Av. y Juncal",Ver en mapa,CABA,-34.586545,-58.408322,"Diaz, Cnel. Av. 2222 | Diaz, Cnel. Av. 2210 | Diaz, Cnel. Av. 2276 | Juncal 3115 | Las Heras Gral. Av. 3115 | Las Heras Gral. Av. 3125 | Diaz, Cnel. Av. S/N | Las Heras Gral. Av. 3117",✅,,✅,,✅,,✅,"Índice GCBA, Templos, Destinos, Entes dependientes",Parroquia y anexos,U1-U3/Sin relevar,
PROP_0084,Parroquia NTRA. SRA. DE LOS DOLORES,Diaz Velez Av. 4850,Ver en mapa,CABA,-34.608842,-58.435558,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
PROP_0085,Parroquia NTRA. SRA. DE LOS REMEDIOS,"Bilbao, Francisco 4310",Ver en mapa,CABA,-34.649963,-58.479349,,,,✅,,,,,Templos,Parroquia y anexos,Sin relevar,
